img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_ncis_437AmericaFront.jpg,NCIS,PS3,adventure,Ubisoft,Ubisoft,7.3,0.13,0.07,0.0,0.04,0.02,2011-11-01,
/games/boxart/full_9725460AmericaFrontccc.jpg,O.D.T.: Escape... Or Die Trying,PS,adventure,Psygnosis,Fdi,7.3,0.13,0.07,0.0,0.05,0.01,1998-10-28,
/games/boxart/full_megamind-ultimate-showdown_6AmericaFront.jpg,Megamind: Ultimate Showdown,X360,adventure,Thq,Thq Australia Studios Pty Ltd.,7.3,0.12000000000000001,0.07,0.0,0.04,0.01,2010-11-02,
/games/boxart/743077ccc.jpg,The X Files: Resist or Serve,PS2,adventure,Vu Games,Black Ops Entertainment,7.3,0.13,0.06,0.0,0.05,0.02,2004-03-16,
/games/boxart/1255454ccc.jpg,Zathura,PS2,adventure,2K Games,High Voltage Software,7.3,0.13,0.06,0.0,0.05,0.02,2005-11-02,
/games/boxart/full_6575804AmericaFrontccc.jpg,Batman: A Telltale Game Series,NS,adventure,Telltale Games,Telltale Games,7.3,0.12,0.09,0.0,0.02,0.01,2017-11-14,2018-01-05
/games/boxart/full_5110479AmericaFrontccc.jpg,Overlord: Raising Hell,PS3,adventure,Codemasters,4J Studios,7.3,0.13,0.07,0.0,0.04,0.02,2008-06-24,
/games/boxart/full_8574556AmericaFrontccc.jpg,F1 2002,PS2,racing,Ea Sports,Visual Sciences Ltd.,7.3,0.12,0.05,0.02,0.04,0.01,2002-06-17,
/games/boxart/full_2343211AmericaFrontccc.jpg,NASCAR 2005: Chase for the Cup,GC,racing,Ea Sports,Ea Tiburon,7.3,0.12000000000000001,0.1,0.0,0.02,0.0,2004-09-04,
/games/boxart/3056507ccc.jpg,Arctic Thunder,XB,racing,Midway Games,Inland Productions,7.3,0.11,0.09,0.0,0.02,0.0,2001-11-15,
/games/boxart/full_987133AmericaFrontccc.jpg,The Voice,WIIU,music,Activision,Zoe Mode,7.3,0.12,0.11,0.0,0.0,0.01,2014-10-21,2018-03-16
/games/boxart/full_9135993JapanFrontccc.jpg,Uta no * Prince-Sama: All Star,PSP,music,Broccoli,Nippon Ichi Software,7.3,0.12,0.0,0.12,0.0,0.0,2013-03-07,2018-11-15
/games/boxart/9149091ccc.jpg,Sphinx and the Cursed Mummy,XB,adventure,Thq,Eurocom Entertainment Software,7.3,0.11,0.09,0.0,0.02,0.0,2003-11-10,
/games/boxart/full_4832628AmericaFrontccc.jpg,Pryzm Chapter One: The Dark Unicorn,PS2,adventure,Tdk Mediactive,Digital Illusions,6.3,0.13,0.06,0.0,0.05,0.02,2002-06-10,
/games/boxart/611632ccc.jpg,Obscure: The Aftermath,WII,adventure,Ignition Entertainment,Hydravision Entertainment,7.3,0.12,0.11,0.0,0.0,0.01,2008-03-25,
/games/boxart/full_3040514JapanFrontccc.jpg,ASH: Archaic Sealed Heat,DS,role-playing,Nintendo,Mistwalker Corporation / Racjin,7.3,0.12,0.0,0.12,0.0,0.0,2007-10-04,
